3.693986139266107216e+01,3.775768638800381183e+01,3.517253665334779811e+01
3.255072236190221702e+01,3.233824786195631873e+01,3.157010586866962853e+01
3.112639940176827835e+01,3.004549117647138701e+01,2.975511303929002693e+01
3.067111436310376149e+01,2.926448855902429003e+01,2.861830051014240439e+01
2.909214660307483769e+01,2.798931377711209123e+01,2.756049736637038094e+01
2.772826455758293562e+01,2.711040774501619666e+01,2.711623133464970437e+01
2.820385901754655578e+01,2.800749591338388100e+01,2.829762094030217412e+01
3.014409955645220762e+01,3.035301764662606772e+01,3.040288921913674614e+01
3.433171086205521760e+01,3.452070934748856956e+01,3.427683950977557004e+01
3.892596801108756210e+01,3.880691525210040282e+01,3.837648704598031202e+01
