3.465626688476201167e+01,3.511991075078873337e+01,3.438138031703726227e+01
2.913258040661461123e+01,2.918819029862426362e+01,2.862114969436578349e+01
2.534243680027747914e+01,2.535567780377232339e+01,2.496481162381063612e+01
2.365933755438308950e+01,2.377156449263171112e+01,2.353180125455742555e+01
2.285360210109109858e+01,2.299755100173469202e+01,2.289322155402347647e+01
2.341329096567198675e+01,2.343865917182242242e+01,2.347988453131810260e+01
2.429437405315839271e+01,2.427631812134950096e+01,2.434175089692570282e+01
2.583852886811943605e+01,2.585572402516579871e+01,2.588688136159458253e+01
2.910401985367622757e+01,2.913961413785940380e+01,2.913065678020467786e+01
3.338848367015622642e+01,3.348725572176903142e+01,3.339990082054511333e+01
