5.873164048048320751e+01,5.692563555531919661e+01,5.777319403693515198e+01,5.728007911931653240e+01,5.711917107874963762e+01
5.400138842414967399e+01,5.050103041246849500e+01,4.998462286460395632e+01,5.138776891498372379e+01,4.974092320412123769e+01
5.110931173893731483e+01,4.889224626804475093e+01,4.792163435205718258e+01,4.979184368735923272e+01,4.815699164648892605e+01
4.747765500001823824e+01,4.699798452910248159e+01,4.632560672345015007e+01,4.764991628454828287e+01,4.673243041898848560e+01
4.358229724657674353e+01,4.389034590228788346e+01,4.368203544924902104e+01,4.442061953697052701e+01,4.431994903664857333e+01
4.224704989056223070e+01,4.255828488410552524e+01,4.252237344862410140e+01,4.284938914993166748e+01,4.291803095757673958e+01
4.451659066477401439e+01,4.475655215067114057e+01,4.442505111549311891e+01,4.453759286595116862e+01,4.428903643916500954e+01
4.859561831920567698e+01,4.905181640432708434e+01,4.842959136489383098e+01,4.846012017469504940e+01,4.820197591249388580e+01
5.450456670206806820e+01,5.535060449055671938e+01,5.472275973395789350e+01,5.459705568862505487e+01,5.457126347883211537e+01
6.131566477441649710e+01,6.240745830907584946e+01,6.199564834474453079e+01,6.164896035880297376e+01,6.192256327091323698e+01
