3.359286904916675809e+01 3.348316696899257039e+01 3.394484516875866120e+01 3.427588312163181428e+01 3.389509983423229755e+01 3.349700837766632588e+01 3.359355088198615391e+01 3.357035356868917120e+01 3.338193932924266960e+01 3.360550341732727020e+01
3.238388039507847793e+01 3.087877675070649275e+01 3.201813935942885081e+01 3.229598794225498182e+01 3.171673427468040174e+01 3.103641644543583311e+01 3.151455400523350292e+01 3.143113524272860104e+01 3.110606591525880305e+01 3.197363647266061903e+01
3.167219947756609955e+01 2.946671479597983989e+01 3.142913767190606222e+01 3.136743690155658015e+01 3.105091597032777528e+01 2.991076577553004512e+01 3.071755482702794282e+01 3.048020021967103688e+01 3.002415670834646377e+01 3.133004615561889139e+01
3.005670809357604156e+01 2.853796362603067749e+01 3.023958778958679261e+01 3.015602213595989056e+01 2.986362710925086361e+01 2.813252147094786437e+01 2.912574121255858017e+01 2.882072247746413041e+01 2.968313875682627057e+01 2.960222833375134144e+01
2.840483985654338639e+01 2.838201469460570792e+01 2.905326313660935966e+01 2.901261016121343062e+01 2.861549065113077361e+01 2.791119148979698394e+01 2.892878086282963324e+01 2.765184026387471761e+01 2.913963004658378964e+01 2.768773929190085781e+01
2.764598456153037631e+01 2.809464810094723575e+01 2.840846140962719346e+01 2.797523866446517360e+01 2.856611534982743450e+01 2.749583041843107267e+01 2.827382019277574798e+01 2.720202745199954464e+01 2.837013850705528029e+01 2.731902548559254029e+01
2.903765451965436384e+01 2.857664238405114787e+01 2.843466167063873229e+01 2.896370283249239819e+01 2.967676672062233223e+01 2.880053334852691549e+01 2.887863446013349744e+01 2.795388412003565648e+01 2.877317460072792699e+01 2.849118385665042652e+01
3.083468893231278329e+01 2.915191032017164119e+01 3.011784139745514111e+01 3.091469928233332354e+01 3.156498979482043055e+01 3.004402269446424611e+01 3.030760981080601013e+01 3.069770558918259695e+01 3.055149478881046221e+01 3.025627151729581499e+01
3.445134282484989541e+01 3.207998707781227665e+01 3.387198609612872957e+01 3.487867786505667311e+01 3.475574691705647723e+01 3.352853672710187283e+01 3.454219643802043294e+01 3.493028243786327636e+01 3.404375804523465376e+01 3.440003175722647200e+01
3.676527894966749699e+01 3.475471721182535134e+01 3.679288273879181048e+01 3.751590813535439395e+01 3.697043879566441404e+01 3.584533302587175996e+01 3.699236704040721690e+01 3.753685138653330711e+01 3.737320951467150110e+01 3.743251996745676280e+01
