47.799,535.06,580.16,-89.504,301.74,992.77,577.52,1075.5,560.93,744.86,647.03,1110.5,472.74,873.99,250.31,560.73,368.45,106.52,51.005,291.93,138.49,234.82,320,381.51,440.28,208.48,300.27,142.78,286.44,142.06,517.91,566.25
47.8,579.06,600.16,-30.504,305.74,1039.8,606.52,1082.5,601.93,777.86,695.03,1156.5,517.74,910.99,310.31,621.73,408.45,108.52,84.005,377.93,165.49,269.82,354,410.51,452.28,203.48,305.27,132.78,332.44,148.06,535.91,549.25
47.801,570.06,521.16,-76.504,298.74,1011.8,570.52,1068.5,581.93,762.86,635.03,1119.5,490.74,860.99,244.31,575.73,388.45,60.518,95.005,335.93,183.49,211.82,339,379.51,433.28,197.48,290.27,139.78,314.44,112.06,527.91,516.25
47.802,532.06,486.16,-121.5,286.74,975.77,555.52,1043.5,541.93,750.86,585.03,1077.5,463.74,835.99,254.31,578.73,391.45,15.518,71.005,255.93,175.49,170.82,322,347.51,425.28,221.48,302.27,117.78,308.44,106.06,477.91,481.25
47.802,512.06,498.16,-75.504,254.74,1007.8,540.52,1026.5,555.93,782.86,599.03,1103.5,469.74,876.99,323.31,626.73,425.45,19.518,12.005,241.93,132.49,183.82,294,338.51,425.28,163.48,261.27,40.779,318.44,90.064,497.91,489.25
47.803,542.06,473.16,-44.504,251.74,1007.8,532.52,1040.5,576.93,799.86,610.03,1137.5,480.74,906.99,298.31,637.73,400.45,40.518,37.005,275.93,131.49,178.82,281,337.51,438.28,130.48,239.27,24.779,309.44,81.064,519.91,520.25
47.804,559.06,487.16,-47.504,266.74,984.77,540.52,1042.5,577.93,794.86,621.03,1118.5,508.74,915.99,312.31,652.73,411.45,0.51836,86.005,314.93,119.49,207.82,308,358.51,413.28,152.48,257.27,46.779,290.44,90.064,494.91,502.25
47.805,546.06,499.16,-69.504,270.74,983.77,555.52,1023.5,584.93,796.86,612.03,1129.5,508.74,924.99,319.31,655.73,451.45,-61.482,6.005,245.93,73.493,185.82,270,326.51,352.28,134.48,220.27,13.779,239.44,54.064,499.91,510.25
47.806,600.06,556.16,-25.504,322.74,1011.8,606.52,1043.5,630.93,811.86,655.03,1175.5,530.74,971.99,331.31,712.73,505.45,-38.482,10.005,265.93,112.49,163.82,262,305.51,364.28,157.48,231.27,20.779,225.44,61.064,516.91,533.25
47.806,673.06,616.16,33.496,358.74,1080.8,658.52,1105.5,694.93,852.86,717.03,1193.5,607.74,1027,409.31,762.73,565.45,52.518,84.005,326.93,129.49,213.82,315,331.51,418.28,130.48,268.27,38.779,265.44,64.064,526.91,543.25
47.807,731.06,635.16,60.496,394.74,1136.8,705.52,1151.5,739.93,933.86,742.03,1249.5,685.74,1090,493.31,792.73,618.45,108.52,100,335.93,132.49,220.82,330,350.51,510.28,105.48,296.27,7.7793,354.44,60.064,589.91,644.25
47.808,751.06,674.16,121.5,426.74,1173.8,738.52,1156.5,749.93,973.86,747.03,1304.5,727.74,1138,517.31,850.73,676.45,150.52,118,432.93,195.49,247.82,319,335.51,542.28,157.48,296.27,15.779,371.44,100.06,622.91,681.25
47.809,735.06,703.16,162.5,443.74,1226.8,760.52,1188.5,755.93,979.86,763.03,1344.5,718.74,1206,527.31,902.73,699.45,182.52,158,485.93,231.49,285.82,292,323.51,494.28,187.48,251.27,77.779,333.44,89.064,602.91,662.25
47.81,739.06,691.16,141.5,455.74,1189.8,755.52,1173.5,747.93,995.86,753.03,1365.5,703.74,1219,525.31,906.73,695.45,216.52,212,481.93,246.49,296.82,292,350.51,484.28,215.48,245.27,75.779,341.44,92.064,605.91,683.25
