5.019151209381779921e+01,5.095452240947565059e+01,4.994938207906291439e+01
4.662236776099454261e+01,4.673959758318839874e+01,4.481397746764569234e+01
4.280387134933985038e+01,4.290658751441914376e+01,4.073806638983052864e+01
4.021540988364616709e+01,4.096196870699496628e+01,3.864082486613877165e+01
3.723101254396490845e+01,3.862239075257112120e+01,3.631831741642614730e+01
3.614926524903199834e+01,3.702893212122152278e+01,3.540416643849121670e+01
3.732111967610519798e+01,3.772904111720811926e+01,3.685870499113796939e+01
4.208059170403653582e+01,4.166126920953353618e+01,4.181969718252376822e+01
4.781074546289796245e+01,4.642965747856744940e+01,4.721646451522871502e+01
5.462501969522292455e+01,5.411938231804980148e+01,5.378558904896638637e+01
