3.480866031416324091e+01,3.276428168410878072e+01,3.348873078649759805e+01
3.102792533567722444e+01,2.985159707114012306e+01,3.057167484939580504e+01
2.762701614417437312e+01,2.778989013754974735e+01,2.807283518977173031e+01
2.615314068473052700e+01,2.689945900603922269e+01,2.709667288255199580e+01
2.519827783507967922e+01,2.546534340061815271e+01,2.619647832509199503e+01
2.611286784065864097e+01,2.504577945970584452e+01,2.611054852950120875e+01
2.728090151331239355e+01,2.585307248312868467e+01,2.678785241128968408e+01
2.878901584639642053e+01,2.727115887366553437e+01,2.857166286652261888e+01
3.200539655014894436e+01,3.069934408642023627e+01,3.250929276724583872e+01
3.596695210160162048e+01,3.502131896941867240e+01,3.673938664218626826e+01
