1.728771142249568626e+01,1.651963649632439157e+01,1.594845064048264582e+01
2.463380986838337350e+01,2.511900288728122987e+01,2.368711807108265077e+01
3.338273173622500423e+01,3.420829828405013728e+01,3.223110581355965820e+01
4.118147218034377488e+01,4.198233132831305880e+01,4.003253208148364450e+01
4.682341379196085995e+01,4.749205008942593054e+01,4.655875765909327413e+01
5.119209041097253277e+01,5.153451223384764290e+01,5.141259136813574315e+01
5.433279145976960223e+01,5.483256051356589467e+01,5.531069562608367107e+01
5.735515835692346087e+01,5.773955961716529117e+01,5.832539940746008256e+01
6.030645450511829608e+01,6.082251638555973727e+01,6.199673250315358075e+01
6.281180413880020552e+01,6.339281571780237101e+01,6.476687673545019663e+01
