4.430517558628294239e+01,4.426244917092179065e+01,4.293830165321013936e+01,4.380091981987774830e+01,4.318150673164902287e+01
3.921441263104294705e+01,3.858229104811900356e+01,3.787107474230057846e+01,3.862878044738639005e+01,3.780466971562803025e+01
3.722594163026365521e+01,3.670345124663543146e+01,3.551289190310228605e+01,3.686010299440697935e+01,3.577903978324967227e+01
3.522516094185125013e+01,3.486035390981433579e+01,3.341537648360888824e+01,3.526017252534178681e+01,3.351702092282424417e+01
3.386624315887252124e+01,3.366225435515915620e+01,3.281258288901712206e+01,3.402159354383799439e+01,3.276076808982771382e+01
3.300080389130232561e+01,3.289216240081928788e+01,3.241774302897341897e+01,3.312410418146181001e+01,3.256327881717002981e+01
3.372805396928090715e+01,3.376968625080773734e+01,3.363466616329728964e+01,3.391981758989274454e+01,3.383697089348049047e+01
3.621492939395574240e+01,3.620767414093739234e+01,3.618545608909911238e+01,3.622513208730941869e+01,3.624048719073670100e+01
4.138429972324149020e+01,4.111561794004675363e+01,4.064517026299758840e+01,4.127163498890161009e+01,4.075465470998462791e+01
4.653293699313940834e+01,4.622707835046701774e+01,4.533385283605468885e+01,4.630091162386535331e+01,4.558697921648838047e+01
