4.365008037187397605e+01,4.404589353929517870e+01,4.325845633312267324e+01,4.376462513326725201e+01,4.351769147303728147e+01,4.412427269445606015e+01,4.363859000991907777e+01,4.367690632162856446e+01,4.377507381215287552e+01,4.434433518897618853e+01
4.075000514902327353e+01,4.060826762708720139e+01,3.991044681435209185e+01,4.069715532743023090e+01,4.009808031258874195e+01,4.068706216342873461e+01,4.059140626247804562e+01,4.088508453455102654e+01,4.139659348037023534e+01,4.061378046358795046e+01
3.946809502953117743e+01,3.973632770258552682e+01,3.873759796771992114e+01,3.997941776709145500e+01,3.883300141560107477e+01,4.052526159021849850e+01,4.029600340676606862e+01,4.090870063966281833e+01,4.025625108921444451e+01,3.945600070806047910e+01
3.756894142702980588e+01,3.839181756164992265e+01,3.714420257730409247e+01,3.795749448461391751e+01,3.754363428314351836e+01,3.950559844139045396e+01,3.943000212476339073e+01,3.960632247308770815e+01,3.784943779888051552e+01,3.782386175240317527e+01
3.675776468220306725e+01,3.731460725924859645e+01,3.705747002034059534e+01,3.720460239310847328e+01,3.729417456321219504e+01,3.901293987530006291e+01,3.874435804447497134e+01,3.797893081332431819e+01,3.525819998719601500e+01,3.686094063687635014e+01
3.687976574090865256e+01,3.682852515113179237e+01,3.699745119480867572e+01,3.700520276130470165e+01,3.742822750315549030e+01,3.880281156957577338e+01,3.772234051173989400e+01,3.825934384863590765e+01,3.453064521408803955e+01,3.599008166017182475e+01
3.792092000326764634e+01,3.799811488390172087e+01,3.725787872017741620e+01,3.786417418128505119e+01,3.860382241044945317e+01,3.834455025419809715e+01,3.695954209503581467e+01,3.828174625970407163e+01,3.639622749409150515e+01,3.676844817113353514e+01
4.046831080570467520e+01,4.075791413291239706e+01,3.926721416721127866e+01,3.985419952181859315e+01,4.042629954664811009e+01,4.055815174373111631e+01,3.881559177400708194e+01,4.063341099966939396e+01,3.923565748785367902e+01,3.897212284050507236e+01
4.503873139037483497e+01,4.489692376737269797e+01,4.361756930254316700e+01,4.355899001870554343e+01,4.422903008430667882e+01,4.560948258029115721e+01,4.441820813867512641e+01,4.508145725105922708e+01,4.410663309709446622e+01,4.459810795129807559e+01
4.947139979949722743e+01,4.924528790076803375e+01,4.810735926924354544e+01,4.770536420265266742e+01,4.746915886749648905e+01,5.082556300441854802e+01,5.005638504816624845e+01,4.948043116934431396e+01,4.920514687655872876e+01,4.980866094139481248e+01
